a52dec 0.8.0-2
kgamma 6.0.3-1
kglobalaccel 6.0.0-1
kglobalaccel5 5.115.0-3
kglobalacceld 6.0.3-1
kguiaddons 6.0.0-2
kguiaddons5 5.115.0-2
kholidays 1:6.0.0-1
ki18n 6.0.0-1
ki18n5 5.115.1-1
kiconthemes 6.0.0-1
kiconthemes5 5.115.0-1
kidletime 6.0.0-1
kinfocenter 6.0.3-1
kio 6.0.0-2
kio-extras 24.02.2-1
kio-fuse 5.1.0-3
kio5 5.115.0-3
kirigami 6.0.0-2
kirigami-addons 1.1.0-1
kitemmodels 6.0.0-1
kitemmodels5 5.115.0-1
kitemviews 6.0.0-1
kitemviews5 5.115.0-1
kitty 0.33.1-3
kitty-shell-integration 0.33.1-3
kitty-terminfo 0.33.1-3
kjobwidgets 6.0.0-1
kjobwidgets5 5.115.0-1
kmenuedit 6.0.3-1
kmod 32-1
knetwalk 24.02.2-1
knewstuff 6.0.0-5
knewstuff5 5.115.0-1
knotifications 6.0.0-1
knotifications5 5.115.0-1
knotifyconfig 6.0.0-1
knotifyconfig5 5.115.0-1
konsole 24.02.2-1
kpackage 6.0.0-1
kpackage5 5.115.0-1
kparts 6.0.0-1
kparts5 5.115.0-1
kpipewire 6.0.3-1
kpty 6.0.0-1
kquickcharts 6.0.0-1
krb5 1.21.2-2
krunner 6.0.0-1
kscreen 6.0.3-1
kscreenlocker 6.0.3-1
kservice 6.0.0-1
kservice5 5.115.0-1
ksshaskpass 6.0.3-1
kstatusnotifieritem 6.0.0-2
ksvg 6.0.0-1
ksystemstats 6.0.3-1
ktexteditor 6.0.0-2
ktexteditor5 5.115.0-1
ktextwidgets 6.0.0-1
ktextwidgets5 5.115.0-1
kunitconversion 6.0.0-1
kuserfeedback 6.0.0-2
kwallet 6.0.0-3
kwallet-pam 6.0.3-1
kwallet5 5.115.0-2
kwayland 6.0.3-1
kwidgetsaddons 6.0.0-1
kwidgetsaddons5 5.115.0-1
kwin 6.0.3.1-4
kwindowsystem 6.0.0-1
kwindowsystem5 5.115.0-1
kwrited 6.0.3-1
kxmlgui 6.0.0-1
kxmlgui5 5.115.0-1
l-smash 2.14.5-3
lame 3.100-4
layer-shell-qt 6.0.3-4
lcms2 2.16-1
ldb 2:2.9.0-2
leftwm 0.5.1-2
less 1:643-1
lib32-brotli 1.1.0-1
lib32-bzip2 1.0.8-3
lib32-curl 8.7.1-4
lib32-e2fsprogs 1.47.0-1
lib32-expat 2.6.2-1
